BASE_CURRENCY,QUOTE_CURRENCY,EXCHANGE_RATE,TIMESTAMP
USD,AED,3.673032,2024-07-18
USD,AFN,70.000443,2024-07-18
USD,ALL,91.756968,2024-07-18
USD,AMD,387.989757,2024-07-18
USD,ANG,1.802555,2024-07-18
USD,AOA,872.635021,2024-07-18
USD,ARS,924.728825,2024-07-18
USD,AUD,1.49138,2024-07-18
USD,AWG,1.8,2024-07-18
USD,AZN,1.699754,2024-07-18
USD,BAM,1.789199,2024-07-18
USD,BBD,2.019514,2024-07-18
USD,BDT,117.520595,2024-07-18
USD,BGN,1.794675,2024-07-18
USD,BHD,0.376955,2024-07-18
USD,BIF,2880.026347,2024-07-18
USD,BMD,1,2024-07-18
USD,BND,1.340847,2024-07-18
USD,BOB,6.911694,2024-07-18
USD,BRL,5.544701,2024-07-18
USD,BSD,1.000197,2024-07-18
USD,BTC,1.5621061e-05,2024-07-18
USD,BTN,83.65229,2024-07-18
USD,BWP,13.533924,2024-07-18
USD,BYN,3.273123,2024-07-18
USD,BYR,19600,2024-07-18
USD,BZD,2.016147,2024-07-18
USD,CAD,1.37045,2024-07-18
USD,CDF,2830.000307,2024-07-18
USD,CHF,0.887425,2024-07-18
USD,CLF,0.025008,2024-07-18
USD,CLP,941.319964,2024-07-18
USD,CNY,7.259897,2024-07-18
USD,CNH,7.278335,2024-07-18
USD,COP,4023.16,2024-07-18
USD,CRC,523.10662,2024-07-18
USD,CUC,1,2024-07-18
USD,CUP,26.5,2024-07-18
USD,CVE,100.872278,2024-07-18
USD,CZK,23.173802,2024-07-18
USD,DJF,177.719522,2024-07-18
USD,DKK,6.84388,2024-07-18
USD,DOP,59.162828,2024-07-18
USD,DZD,134.524519,2024-07-18
USD,EGP,48.249602,2024-07-18
USD,ERN,15,2024-07-18
USD,ETB,57.799968,2024-07-18
USD,EUR,0.91732,2024-07-18
USD,FJD,2.233703,2024-07-18
USD,FKP,0.77056,2024-07-18
USD,GBP,0.77215,2024-07-18
USD,GEL,2.714967,2024-07-18
USD,GGP,0.77056,2024-07-18
USD,GHS,15.433383,2024-07-18
USD,GIP,0.77056,2024-07-18
USD,GMD,67.790721,2024-07-18
USD,GNF,8615.981374,2024-07-18
USD,GTQ,7.761306,2024-07-18
USD,GYD,209.242225,2024-07-18
USD,HKD,7.81016,2024-07-18
USD,HNL,24.773693,2024-07-18
USD,HRK,6.90795,2024-07-18
USD,HTG,132.029989,2024-07-18
USD,HUF,358.466995,2024-07-18
USD,IDR,16192,2024-07-18
USD,ILS,3.653975,2024-07-18
USD,IMP,0.77056,2024-07-18
USD,INR,83.689303,2024-07-18
USD,IQD,1310.236624,2024-07-18
USD,IRR,42087.49797,2024-07-18
USD,ISK,137.320377,2024-07-18
USD,JEP,0.77056,2024-07-18
USD,JMD,156.67153,2024-07-18
USD,JOD,0.708698,2024-07-18
USD,JPY,157.151498,2024-07-18
USD,KES,130.999901,2024-07-18
USD,KGS,84.802502,2024-07-18
USD,KHR,4107.602724,2024-07-18
USD,KMF,450.550048,2024-07-18
USD,KPW,900.00035,2024-07-18
USD,KRW,1386.134977,2024-07-18
USD,KWD,0.305599,2024-07-18
USD,KYD,0.833497,2024-07-18
USD,KZT,477.524826,2024-07-18
USD,LAK,22143.951696,2024-07-18
USD,LBP,89568.419367,2024-07-18
USD,LKR,304.05767,2024-07-18
USD,LRD,195.190676,2024-07-18
USD,LSL,18.237008,2024-07-18
USD,LTL,2.952739,2024-07-18
USD,LVL,0.60489,2024-07-18
USD,LYD,4.831148,2024-07-18
USD,MAD,9.799152,2024-07-18
USD,MDL,17.688145,2024-07-18
USD,MGA,4510.212017,2024-07-18
USD,MKD,56.538675,2024-07-18
USD,MMK,2097.489626,2024-07-18
USD,MNT,3450.000346,2024-07-18
USD,MOP,8.044022,2024-07-18
USD,MRU,39.555765,2024-07-18
USD,MUR,46.497264,2024-07-18
USD,MVR,15.310206,2024-07-18
USD,MWK,1734.325614,2024-07-18
USD,MXN,17.968445,2024-07-18
USD,MYR,4.667496,2024-07-18
USD,MZN,63.899991,2024-07-18
USD,NAD,18.236841,2024-07-18
USD,NGN,1627.339713,2024-07-18
USD,NIO,36.81324,2024-07-18
USD,NOK,10.81469,2024-07-18
USD,NPR,133.84381,2024-07-18
USD,NZD,1.654835,2024-07-18
USD,OMR,0.384959,2024-07-18
USD,PAB,1.000206,2024-07-18
USD,PEN,3.72606,2024-07-18
USD,PGK,3.917246,2024-07-18
USD,PHP,58.279892,2024-07-18
USD,PKR,278.247119,2024-07-18
USD,PLN,3.93715,2024-07-18
USD,PYG,7548.291777,2024-07-18
USD,QAR,3.648198,2024-07-18
USD,RON,4.558396,2024-07-18
USD,RSD,107.354976,2024-07-18
USD,RUB,88.399626,2024-07-18
USD,RWF,1310.121169,2024-07-18
USD,SAR,3.750849,2024-07-18
USD,SBD,8.457605,2024-07-18
USD,SCR,13.600561,2024-07-18
USD,SDG,591.999645,2024-07-18
USD,SEK,10.59676,2024-07-18
USD,SGD,1.343598,2024-07-18
USD,SHP,0.77056,2024-07-18
USD,SLE,22.847303,2024-07-18
USD,SLL,20969.503664,2024-07-18
USD,SOS,571.582785,2024-07-18
USD,SRD,29.56498,2024-07-18
USD,STD,20697.981008,2024-07-18
USD,SVC,8.751378,2024-07-18
USD,SYP,13001.763001,2024-07-18
USD,SZL,18.236874,2024-07-18
USD,THB,36.150267,2024-07-18
USD,TJS,10.641741,2024-07-18
USD,TMT,3.51,2024-07-18
USD,TND,3.092813,2024-07-18
USD,TOP,2.35925,2024-07-18
USD,TRY,33.102395,2024-07-18
USD,TTD,6.770807,2024-07-18
USD,TWD,32.652503,2024-07-18
USD,TZS,2684.999823,2024-07-18
USD,UAH,41.483558,2024-07-18
USD,UGX,3690.472379,2024-07-18
USD,UYU,40.160459,2024-07-18
USD,UZS,12589.709225,2024-07-18
USD,VEF,3622552.534434,2024-07-18
USD,VES,36.526818,2024-07-18
USD,VND,25317.5,2024-07-18
USD,VUV,118.722038,2024-07-18
USD,WST,2.803608,2024-07-18
USD,XAF,600.091483,2024-07-18
USD,XAG,0.033611,2024-07-18
USD,XAU,0.00041,2024-07-18
USD,XCD,2.70255,2024-07-18
USD,XDR,0.754449,2024-07-18
USD,XOF,600.080504,2024-07-18
USD,XPF,109.10405,2024-07-18
USD,YER,250.324989,2024-07-18
USD,ZAR,18.251715,2024-07-18
USD,ZMK,9001.178349,2024-07-18
USD,ZMW,26.430025,2024-07-18
USD,ZWL,321.999592,2024-07-18
